DemIndINum,DemIndAñoFRlt,DemIndAñoIni,DemIndAñoFin,DemIndBar,DemIndSisGbl,DemIndSisPri,DemIndSisSec,DemIndSisCmr,DemIndIBlo,DemIndEtaTip,MesAbr,MesMay,MesJun,MesJul,MesAgo,MesSep,MesOct,MesNov,MesDic,MesEne,MesFeb,MesMar
61,F,2018,2018,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,13,EtaMes,1.020489572,1.062172997,0.992240963,1.034288921,1.013017715,1.049796039,0.998279165,1.037470657,1.111171881,0.976013255,1.013476945,1.02462946
62,F,2018,2018,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,14,EtaMes,0.913580225,0.917888406,0.97332918,0.958680859,0.937886126,0.855943413,0.983088719,0.994280599,0.950438867,0.989863011,0.979763179,0.978967805
63,F,2018,2018,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,15,EtaMes,1.050401384,1.066565879,1.001003875,1.038273812,1.019675032,1.104278231,1.021289599,1.063403087,1.145102485,1.031279316,1.058337665,1.046376887
64,F,2018,2018,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,16,EtaMes,0.951159122,0.932207049,0.98723844,0.950434614,0.960148144,0.915146979,1.016367756,1.036627091,0.984975061,1.035532351,1.032494496,1.027862158
65,F,2019,2019,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,1,EtaMes,1.066252254,1.053788572,1.027164297,1.058971088,1.032164678,1.082311228,1.016588625,1.050058465,1.135715685,1.025469976,1.028958083,1.012596947
66,F,2019,2019,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,2,EtaMes,1.015492198,0.985453334,1.025880774,1.00440571,1.00959142,0.981730818,1.026003672,1.028510306,0.970979443,1.037732477,1.031713009,1.026578804
67,F,2019,2019,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,3,EtaMes,1.050984484,1.039265218,1.029450235,1.057324347,1.047322866,1.093972518,1.030837142,1.031739865,1.12806054,1.021426367,1.028544653,1.012993817
68,F,2019,2019,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,4,EtaMes,1.046394695,1.027274463,1.032256686,1.020256158,1.034210245,1.034046478,1.021952103,1.02365183,0.963460675,1.043467711,1.032278907,1.024883588
69,F,2019,2019,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,5,EtaMes,1.024983801,1.027197805,1.014261108,1.021865435,1.02501749,1.045808625,1.011145536,0.991414653,1.101543413,0.982916323,1.018973628,1.010912813
70,F,2019,2019,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,6,EtaMes,1.026470314,0.99397582,1.003650034,0.997766482,1.015882263,1.019364681,1.006805557,1.016736116,0.96494441,1.039920673,1.009123,1.006114859
71,F,2019,2019,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,7,EtaMes,1.008557399,1.036871896,1.00143283,1.006931669,0.992430922,1.030456594,0.986649888,0.969757559,1.082019934,0.927551668,0.976746409,0.988627318
